"Authorize.net","Authorize.net"
"Email","Email"
"Email (Error)","Email (Error)"
"GeoIP Data File","GeoIP Data File"
"Global Sign Secured","Global Sign Secured"
"MasterCard","MasterCard"
"McAfee SECURE","McAfee SECURE"
"Pincode Maxlength","Pincode Maxlength"
"Promo Code","Promo Code"
" Allowed payment methods for %s are loaded."," Erlaubt Zahlungsarten für %s werden geladen."
" Choose a payment method and enter your payment details to pay via our secure gateway"," Wählen Sie eine Zahlungsmethode und geben Sie Ihre Zahlungsdaten zu zahlen über unseren sicheren Gateway"
" your credit card details to pay via our secure gateway."," Ihre Kreditkartendetails über unser sicheres Gateway bearbeitet."
"* Required Fields","* Pflichtangaben"
"1. Shipping","1. Schifffahrt"
"1. Shipping Info","1. Versandinfo"
"1.1 Shipping Method","1.1 Liefer-Methode"
"2. Payment","2. Bezahlung"
"2. Payment Info","2. Zahlungsinformationen"
"3. Order Summary","3. Bestellübersicht"
"3. Summary","3. Zusammenfassung"
"A new password has been sent to %s","Ein neues Passwort wurde an %s gesendet"
"Add gift options","In Geschenk-Optionen"
"Add gift options for Individual Items","In Geschenk-Optionen für einzelne Elemente"
"Add gift options for the Entire Order","In Geschenk-Optionen für den gesamten Auftrag"
"Add gift options.","In Geschenk-Optionen."
"Address","Adresse"
"Address (Description)","Adresse (Beschreibung)"
"Address (Error)","Adresse (Error)"
"Address 1","Adresse 1"
"Address 2","Adresse 2"
"American Express","American-Express-Karte"
"Appearance Options","Aussehen Optionen"
"Apply","Anwenden"
"Apply Coupon","Gutschein einlösen"
"Applying Coupon...","Gutschein einlösen ..."
"Available Credit:","Erhältlich Bildnachweis:"
"Awesome Checkout %s is now available","Awesome Checkout %s ist jetzt verfügbar"
"Billing","Rechnung"
"Billing Address is the same as shipping","Rechnungsadresse ist die gleiche wie die Versandadresse"
"Billing Address:","Rechnungsadresse:"
"Can not create invoice. Order was not found.","Rechnung wurde nicht erstellt. Auftrag wurde nicht gefunden."
"Canceling Coupon...","Gutschein zurücksetzen ..."
"Cannot apply the coupon code.","Gutschein ist nicht gültig."
"Checking email...","E-Mails prüfen ..."
"Checkout","Kasse"
"Checkout Progress Wrapper","Kasse Fortschritt Wrapper"
"Choose Your %s Method","Wählen Sie Ihre Methode %s"
"Choose a method of payment:","Wählen Sie eine Zahlungsmethode:"
"City","Stadt"
"Click here if you have a Promo Code","Klicken Sie hier, wenn Sie einen Gutschein haben"
"Click here to cancel Promo Code","Klicken Sie hier, um den Gutschein  zu stornieren"
"Close","Schließen"
"Company","Firma"
"Company (Description)","Firma (Beschreibung)"
"Company (Error)","Firma (Error)"
"Complete Your Order","Vervollständigen Sie Ihre Bestellung"
"Country","Land"
"Coupon code ""%s"" is not valid.","Gutscheincode ""%s""ist nicht gültig."
"Credit Card Information","Kreditkarteninformationen"
"Credit Card Number","Nummer der Kreditkarte"
"Credit Card Security Code","Sicherheitscode Kreditkarte"
"Credit Card Security Code Visual Reference","Credit Card Security Code Visuelle Referenz"
"Discover","Entdecken"
"Do you have any gift items in your order?","Haben Sie Geschenkartikel in Ihrem Auftrag?"
"Double-Check your ordered items & click on ""Place Order"" to complete your purchase.","Bitte prüfen Sie Ihre bestellten Artikel und klicken Sie auf ""Bestellung aufgeben"", um den Kauf abzuschließen."
"Edit","Bearbeiten"
"Email (Description)","E-Mail (Beschreibung)"
"Email Address","E-Mail-Adresse"
"Email me my new password now","Bitte schicken Sie mir mein neues Passwort"
"Enter your password and click ""Login"" to speed up your checkout process.","Geben Sie Ihr Passwort ein und klicken Sie auf ""Login"" für eine schnellere Kaufabwicklung."
"Enter your password below and click ""Login"" to speed up your checkout.","Geben Sie Ihr Passwort ein und klicken Sie auf ""Login"" für eine schnellere Kaufabwicklung."
"Error Occurred","Fehler aufgetreten"
"Error message when shipping rates are not available","Mensaje de error cuando las tarifas de envío no están disponibles"
"Expiration Date","Fälligkeitsdatum"
"Fill Out Your %s Information","Bitte geben Sie %s Informationen an."
"Fill in your shipping address and click on ""Proceed to Shipping Method""","Bitte geben Sie Ihre Lieferadresse an und klicken Sie auf, ""Weiter zur Versandart"""
"From","von"
"Full Name","Vorname, Name"
"Full Name (Description)","Vollständiger Name (Beschreibung)"
"Full Name (Error)","Vollständiger Name (Error)"
"Gateway Error Message","Gateway-Fehlermeldung"
"General Options","Allgemeine Optionen"
"Gift Options for Individual Items","Geschenk Optionen für einzelne Elemente"
"Gift Options for the Entire Order.","Geschenk Optionen für den gesamten Auftrag."
"Gift Options for this address.","Geschenk Optionen für diese Adresse."
"Grand Total","Summe"
"Grand total","Summe"
"Incl. Tax","Inkl. Steuer"
"Inline Validation Messages","Inline Validation Nachricht"
"Invalid email address.","Ungültige E-Mail-Adresse"
"Invalid email.","Ungültige E-Mail."
"Invalid password.","Passwort stimmt nicht."
"Issue Number","Nummer"
"Item %d of %d","Artikel %d von %d"
"Items After","Nach Artikel"
"Items Before","Titel Before"
"Loading address...","Lädt Adresse ..."
"Loading city, state and country...","Lädt Stadt, Staat und Land ..."
"Loading next step...","Lädt nächsten Schritt ..."
"Login","Anmelden"
"Login and password are required","Benutzername und Passwort sind erforderlich"
"Login/Registration Before","Login/Registrierung Bevor"
"Logo","Firmenemblem"
"Looks good!","Sieht gut aus!"
"Message","Nachricht"
"My Cart","Mein Warenkorb"
"One Page Checkout Overview","One Page Checkout Übersicht"
"Order Summary","Bestellübersicht"
"Password","Kennwort"
"Payment","Bezahlung"
"Phone Number","Telefonnummer"
"Phone Number (Description)","Telefonnummer (Beschreibung)"
"Phone Number (Error)","Telefonnummer (Error)"
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie allen Bedingungen zu bevor Sie die Bestellung aufgeben."
