"Authorize.net","Authorize.net"
"Company (Error)","Company (Error)"
"Email","Email"
"Email (Error)","Email (Error)"
"Global Sign Secured","Global Sign Secured"
"Login","Login"
"Logo","Logo"
"McAfee SECURE","McAfee SECURE"
"Total","Total"
" Allowed payment methods for %s are loaded."," Se cargan los métodos de pago permitidos para %s."
" Choose a payment method and enter your payment details to pay via our secure gateway"," Elegir un método de pago e introduzca sus datos de pago para pagar a través de nuestra pasarela segura"
" your credit card details to pay via our secure gateway."," datos de su tarjeta de crédito para pagar a través de nuestra pasarela segura."
"* Required Fields","* Campos requeridos"
"1. Shipping","1. envío"
"1. Shipping Info","1. Información de envío"
"1.1 Shipping Method","1.1 Método de envío"
"2. Payment","2. pago"
"2. Payment Info","2. Información del pago"
"3. Order Summary","3. Resumen del pedido"
"3. Summary","3. resumen"
"A new password has been sent to %s","Una nueva contraseña ha sido enviada a %s"
"Add gift options","Añadir opciones de regalo"
"Add gift options for Individual Items","Añadir opciones de regalo para los elementos individuales"
"Add gift options for the Entire Order","Añadir opciones de regalo para toda la Orden"
"Add gift options.","Añadir opciones de regalo."
"Address","Dirección"
"Address (Description)","Dirección (Descripción)"
"Address (Error)","Dirección (Error)"
"Address 1","Dirección 1"
"Address 2","Dirección 2"
"American Express","tarjeta American Express"
"Appearance Options","Opciones de aspecto"
"Apply","Aplicar"
"Apply Coupon","Aplicar Cupón"
"Applying Coupon...","Aplicar Cupón ..."
"Available Credit:","Disponible Crédito:"
"Awesome Checkout %s is now available","Awesome Checkout %s ya está disponible"
"Billing","Facturación"
"Billing Address is the same as shipping","Dirección de Facturación es la misma que el envío"
"Billing Address:","Dirección de Facturación:"
"Can not create invoice. Order was not found.","No se puede crear la factura. El orden no fue encontrado."
"Canceling Coupon...","Cancelación de descuento ..."
"Cannot apply the coupon code.","No se puede aplicar el código de cupón."
"Checking email...","Consultar el correo electrónico ..."
"Checkout","Caja"
"Checkout Progress Wrapper","Pedido Progreso Wrapper"
"Choose Your %s Method","Elija su método %s"
"Choose a method of payment:","Elegir un método de pago:"
"City","Ciudad"
"Click here if you have a Promo Code","Haga clic aquí si tiene un Código de promoción"
"Click here to cancel Promo Code","Haga clic aquí para cancelar Código de promoción"
"Close","Cerrar"
"Company","Empresa"
"Company (Description)","Empresa (Descripción)"
"Complete Your Order","Completar su pedido"
"Country","País"
"Coupon code ""%s"" is not valid.","Código de descuento ""%s""no es válido."
"Credit Card Information","Información de Tarjeta de Crédito"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Security Code","Tarjeta de Crédito Código de seguridad"
"Credit Card Security Code Visual Reference","Tarjeta de Crédito Código de seguridad de referencia de Visual"
"Discover","Descubrir"
"Do you have any gift items in your order?","¿Tiene algún artículos de regalo en su pedido?"
"Double-Check your ordered items & click on ""Place Order"" to complete your purchase.","Vuelva a revisar sus artículos pedidos y haga clic en ""orden del lugar"" para completar su compra."
"Edit","Editar"
"Email (Description)","Email (Descripción)"
"Email Address","Dirección de correo electrónico"
"Email me my new password now","Me mi nueva contraseña Enviar ahora"
"Enter your password and click ""Login"" to speed up your checkout process.","Introduzca la contraseña y haga clic en ""Login"" para acelerar el proceso de pago."
"Enter your password below and click ""Login"" to speed up your checkout.","Ingrese su contraseña abajo y haga clic en ""Login"" para acelerar el proceso de pago."
"Error Occurred","Ha ocurrido un error"
"Error message when shipping rates are not available","Mensaje de error cuando las tarifas de envío no están disponibles"
"Expiration Date","Fecha de expiración"
"Fill Out Your %s Information","Complete la información Su %s"
"Fill in your shipping address and click on ""Proceed to Shipping Method""","Introduzca su dirección de envío y haga clic en ""Ir a la forma de envío"""
"From","de"
"Full Name","Nombre Completo"
"Full Name (Description)","Nombre Completo (Descripción)"
"Full Name (Error)","Nombre Completo (Error)"
"Gateway Error Message","Mensaje de error de puerta de enlace"
"General Options","Opciones generales"
"GeoIP Data File","Archivo de datos de GeoIP"
"Gift Options for Individual Items","Opciones de regalos para artículos individuales"
"Gift Options for the Entire Order.","Opciones de regalos para toda la Orden."
"Gift Options for this address.","Opciones de regalos para esta dirección."
"Grand total","totalidad"
"Incl. Tax","Incl. Impuesto"
"Inline Validation Messages","Mensajes de validación Inline"
"Invalid email address.","Dirección de correo electrónico válida."
"Invalid email.","No válida de correo electrónico."
"Invalid password.","Contraseña no válida."
"Issue Number","ª Edición"
"Item %d of %d","Elemento %d de %d"
"Items After","Items Después"
"Items Before","Artículos Antes"
"Loading address...","Cargando dirección ..."
"Loading city, state and country...","Carga de la ciudad, estado y país ..."
"Loading next step...","Cargando siguiente paso ..."
"Login and password are required","Se requieren inicio de sesión y contraseña"
"Login/Registration Before","Login/Registro antes"
"Looks good!","Se ve bien!"
"MasterCard","Tarjeta MasterCard"
"Message","mensaje"
"My Cart","Mi carro"
"One Page Checkout Overview","Pedido de una página general"
"Order Summary","Resumen del pedido"
"Password","Contraseña"
"Payment","Pago"
"Phone Number","Número de teléfono"
"Phone Number (Description)","Número de teléfono (Descripción)"
