"American Express","American Express"
"Authorize.net","Authorize.net"
"Email","Email"
"Error Occurred","Error Occurred"
"Global Sign Secured","Global Sign Secured"
"Incl. Tax","Incl. Tax"
"Invalid password.","Invalid password."
"Logo","Logo"
"MasterCard","MasterCard"
"McAfee SECURE","McAfee SECURE"
"Visa","Visa"
" Allowed payment methods for %s are loaded."," Vengono caricati i metodi di pagamento consentiti per %s."
" Choose a payment method and enter your payment details to pay via our secure gateway"," Scegli un metodo di pagamento e inserisci i tuoi dati di pagamento per pagare attraverso il nostro gateway sicuro"
" your credit card details to pay via our secure gateway."," i dati della carta di credito per pagare attraverso il nostro gateway sicuro."
"* Required Fields","* Campi Obbligatori"
"1. Shipping","1. spedizione"
"1. Shipping Info","1. Info spedizione"
"1.1 Shipping Method","1.1 Metodo di Spedizione"
"2. Payment","2. pagamento"
"2. Payment Info","2. Informazioni di pagamento"
"3. Order Summary","3. Riepilogo ordine"
"3. Summary","3. Sommario"
"A new password has been sent to %s","Una nuova password è stata inviata a %s"
"Add gift options","Aggiungere opzioni regalo"
"Add gift options for Individual Items","Aggiungere opzioni regalo Articoli individuali per"
"Add gift options for the Entire Order","Aggiungere opzioni regalo per tutto l'Ordine"
"Add gift options.","Aggiungere opzioni regalo."
"Address","Indirizzo"
"Address (Description)","Indirizzo (descrizione)"
"Address (Error)","Indirizzo (Errore)"
"Address 1","Indirizzo 1"
"Address 2","Indirizzo 2"
"Appearance Options","opzioni di aspetto"
"Apply","Applicare"
"Apply Coupon","Applica Coupon"
"Applying Coupon...","Applicando Coupon ..."
"Available Credit:","Disponibile Credito:"
"Awesome Checkout %s is now available","Awesome Checkout %s è ora disponibile"
"Billing","Fatturazione"
"Billing Address is the same as shipping","Indirizzo di fatturazione è la stessa di spedizione"
"Billing Address:","Indirizzo di fatturazione:"
"Can not create invoice. Order was not found.","Impossibile creare fattura. L'ordine non è stato trovato."
"Canceling Coupon...","Annullamento Coupon ..."
"Cannot apply the coupon code.","Non è possibile applicare il codice coupon."
"Checking email...","Controllare la posta elettronica ..."
"Checkout","Acquista"
"Checkout Progress Wrapper","Acquista Progress Wrapper"
"Choose Your %s Method","Scegli il tuo %s Metodo"
"Choose a method of payment:","Scegliere un metodo di pagamento:"
"City","Città"
"Click here if you have a Promo Code","Clicca qui se hai un codice promo"
"Click here to cancel Promo Code","Clicca qui per cancellare Codice Promo"
"Close","Chiudere"
"Company","Azienda"
"Company (Description)","Azienda (descrizione)"
"Company (Error)","Azienda (Errore)"
"Complete Your Order","Completa il tuo ordine"
"Country","Nazione"
"Coupon code ""%s"" is not valid.","Codice promozionale di ""%s""non è valido."
"Credit Card Information","Carta di credito Informazioni"
"Credit Card Number","Numero carta di credito"
"Credit Card Security Code","Carta di credito Codice di sicurezza"
"Credit Card Security Code Visual Reference","Carta di credito Codice di sicurezza Riferimenti di Visual"
"Discover","Scoprire"
"Do you have any gift items in your order?","Avete articoli da regalo nel vostro ordine?"
"Double-Check your ordered items & click on ""Place Order"" to complete your purchase.","Ricontrolla articoli ordinati e fare clic su ""Ordina"" per completare l'acquisto."
"Edit","Modifica"
"Email (Description)","Email (descrizione)"
"Email (Error)","Email (Errore)"
"Email Address","Indirizzo e-mail"
"Email me my new password now","Me la mia nuova password Email adesso"
"Enter your password and click ""Login"" to speed up your checkout process.","Immettere la password e fare clic su ""Login"" per velocizzare il processo di checkout."
"Enter your password below and click ""Login"" to speed up your checkout.","Inserisci la tua password e fare clic su ""Login"" per accelerare la vostra cassa."
"Error message when shipping rates are not available","Messaggio di errore quando le tariffe di spedizione non sono disponibili"
"Expiration Date","Data di Scadenza"
"Fill Out Your %s Information","Compila il tuo %s Informazioni"
"Fill in your shipping address and click on ""Proceed to Shipping Method""","Inserisci il tuo indirizzo per la spedizione e cliccare su ""Procedi al metodo di spedizione"""
"From","da"
"Full Name","Nome e Cognome"
"Full Name (Description)","Nome e Cognome (descrizione)"
"Full Name (Error)","Nome e Cognome (Errore)"
"Gateway Error Message","Messaggio di errore di Gateway"
"General Options","Opzioni generali"
"GeoIP Data File","GeoIP file di dati"
"Gift Options for Individual Items","Opzioni Articoli da regalo individuali per"
"Gift Options for the Entire Order.","Opzioni regalo per tutto l'Ordine."
"Gift Options for this address.","Opzioni regalo per questo indirizzo."
"Grand Total","Totale complessivo"
"Grand total","Totale complessivo"
"Inline Validation Messages","Messaggi di convalida inline"
"Invalid email address.","Indirizzo e-mail non valido."
"Invalid email.","Mail non valido."
"Issue Number","Versione numero"
"Item %d of %d","Voce %d di %d"
"Items After","itens Depois"
"Items Before","Antes itens"
"Loading address...","Caricamento di indirizzo ..."
"Loading city, state and country...","Caricamento di città, stato e paese ..."
"Loading next step...","Caricamento prossimo passo ..."
"Login","Accesso"
"Login and password are required","Login e password sono obbligatori"
"Login/Registration Before","Login/Registrazione Prima"
"Looks good!","Sembra buono!"
"Message","messaggio"
"My Cart","Il mio carrello"
"One Page Checkout Overview","Una pagina Checkout Panoramica"
"Order Summary","Riepilogo ordine"
"Password","Parola d'ordine"
"Payment","Pagamento"
"Phone Number","Numero di telefono"
"Phone Number (Description)","Numero di telefono (descrizione)"
"Phone Number (Error)","Numero di telefono (Errore)"
"Pincode Maxlength","PINCODE Maxlength"
"Please agree to all the terms and conditions before placing the order.","Si prega di accettare tutti i termini e le condizioni prima di ordinare."
"Please enter your email.","Inserisci il tuo indirizzo email."
"Please fill out your shipping address &amp;","Si prega di compilare il tuo indirizzo di spedizione &amp;"
"Please fill out your shipping address &amp; then click ""Proceed to Shipping Type""","Si prega di compilare il tuo indirizzo di spedizione e poi cliccare su ""Procedere alla trasportabile"""
"Please select region, state or province","Selezionare regione, stato o provincia"
"Price","Prezzo"
"Proceed to Billing Information","Procedere alle informazioni di fatturazione"
"Proceed to Payment &rarr;","Procedere al pagamento &rarr;"
"Proceed to Shipping Method","Procedere al Metodo di Spedizione"
"Proceed to Shipping Method &rarr;","Procedere al Metodo di Spedizione &rarr;"
"Proceed to Shipping Type","Procedere alla trasportabile"
"Proceed to Shipping Type &rarr;","Procedere alla trasportabile &rarr;"
"Product Name","Nome del prodotto"
"Promo Code","Codice Promo"
"Qty","Qtà"
"Review Purchase","Rivedere Acquisto"
"Review Purchase &rarr;","rivedere Acquisto &rarr;"
"Save for Future Purchases","Salva per futuri acquisti"
"Save for future purchases","Salva per futuri acquisti"
"Security Badges","Badge di sicurezza"
"Select a billing address from your address book or enter a new address.","Selezionare un indirizzo di fatturazione dalla tua rubrica o inserire un nuovo indirizzo."
"Select a shipping address from your address book or enter a new address.","Selezionare un indirizzo di spedizione dalla rubrica o inserire un nuovo indirizzo."
"Selected payment type is not allowed for billing country.","Tipo di pagamento scelto non è ammesso per paese di fatturazione."
"Shipping","Spedizione"
"Shipping Information","Informazioni di trasporto"
"Shipping Method","Metodo di Spedizione"
"Shipping Method Message","Metodo di trasporto Messaggio"
"Shipping Method:","Metodo di spedizione:"
"Shipping and Billing Address","Spedizione e indirizzo di fatturazione"
"Special Announcement","Annuncio speciale"
"Start Date","Data di inizio"
"State","Stato"
"State/Province","Stato / Provincia"
"Street Address","Indirizzo"
"Street Address %s","Indirizzo %s"
"Submitting order information...","Invio di informazioni di ordine ..."
"Subtotal","Subtotale"
"Switch/Solo/Maestro Only","Switch / Solo / Maestro Solo"
"Telephone","Telefono"
"The base directory to upload image file is not specified.","La directory di base per caricare file di immagine non è specificato."
"The onepage checkout is disabled.","Il checkout onepage è disabilitato."
"The store does not currently ship to your address. Please modify your shipping address.","Il negozio attualmente non spedice al vostro indirizzo. Si prega di modificare il vostro indirizzo di trasporto."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l'elaborazione dell'ordine. Vi preghiamo di contattarci o di riprovare più tardi."
"This account is not confirmed.","Questo account non è confermato."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non è confermato. se si href=""%s""> Clicca qui </a> per inviare nuovamente mail di conferma."
"This email address was not found in our records.","Questo indirizzo e-mail non è stato trovato nel nostro archivio."
"To","a"
"To keep your GeoIp database up to date please download fresh data <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">here</a>.","Per mantenere il database geoip aggiornati si prega di scaricare i dati freschi se <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">qui</a>."
"Total","Totale"
"Total incl. tax","Incl totale. fiscale"
"Try using a badge that is not more than 115px in width and 55px in height","Provare a utilizzare un badge che non è più di 115px in larghezza e 55px in altezza"
"Unable to set Payment Method.","Impossibile impostare il metodo di pagamento."
"Upload your logo here, preferably of not greater than 60px in height.","Carica il tuo logo qui, preferibilmente non superiore a 60px in altezza."
"Use Store Credit","Utilizzare Conservare credito"
"Use default Billing Address","Utilizzare predefinito Indirizzo di fatturazione"
"Verified By GeoTRUST","Verificato da GeoTrust"
"Watermarks","filigrane"
"What is this?","Che cosa è questo?"
"You are shipping to:","È per trasporto di merci:"
"You can leave this box blank if you do not wish to add a gift message for the item.","È possibile lasciare vuota questa casella se non si desidera aggiungere un messaggio dono per la voce."
"You can leave this box blank if you do not wish to add a gift message for this address.","È possibile lasciare vuota questa casella se non si desidera aggiungere un messaggio dono per questo indirizzo."
"You can leave this box blank if you do not wish to add a gift message<br/> for the item.","È possibile lasciare vuota questa casella se non si desidera aggiungere un messaggio dono <br/> per la voce."
