"Authorize.net","Authorize.net"
"MasterCard","MasterCard"
"McAfee SECURE","McAfee SECURE"
" Allowed payment methods for %s are loaded."," Разрешено Методы оплаты Для %s загружены."
" Choose a payment method and enter your payment details to pay via our secure gateway"," Выберите способ оплаты и ввести свои платежные реквизиты для оплаты через наш шлюз безопасности"
" your credit card details to pay via our secure gateway."," данные вашей кредитной карты для оплаты через наш шлюз безопасности."
"* Required Fields","* Обязательные поля"
"1. Shipping","1. судоходство"
"1. Shipping Info","1. Информация о доставке"
"1.1 Shipping Method","1.1 Способ доставки"
"2. Payment","2. оплата"
"2. Payment Info","2. Информация об оплате"
"3. Order Summary","3. Сводка заказов"
"3. Summary","3. резюме"
"A new password has been sent to %s","Новый пароль был отправлен %s"
"Add gift options","Добавить подарочная упаковка"
"Add gift options for Individual Items","Добавить подарочная упаковка для отдельных элементов"
"Add gift options for the Entire Order","Добавить подарочная за весь заказ"
"Add gift options.","Добавить подарочная упаковка."
"Address","Адрес"
"Address (Description)","Адрес (описание)"
"Address (Error)","Адрес (ошибка)"
"Address 1","Адрес 1"
"Address 2","Адрес 2"
"American Express","Америкэн Экспресс"
"Appearance Options","параметры оформления"
"Apply","Применять"
"Apply Coupon","Применить купон"
"Applying Coupon...","Применение купона ..."
"Available Credit:","Доступный кредит:"
"Awesome Checkout %s is now available","Awesome Checkout %s с теперь доступна"
"Billing","Биллинг"
"Billing Address is the same as shipping","Адрес для выставления счета такое же как судоходство"
"Billing Address:","Адрес для выставления счета:"
"Can not create invoice. Order was not found.","Невозможно создать счет-фактуру. Заказ не был найден."
"Canceling Coupon...","Отмена купона ..."
"Cannot apply the coupon code.","Невозможно применить код купона."
"Checking email...","Проверка электронной почты ..."
"Checkout","Контроль"
"Checkout Progress Wrapper","Оформить заказ Прогресс Wrapper"
"Choose Your %s Method","Выберите ваш метод %s"
"Choose a method of payment:","Выберите способ оплаты:"
"City","Сити"
"Click here if you have a Promo Code","Нажмите здесь если у вас есть промо-код"
"Click here to cancel Promo Code","Нажмите, чтобы отменить Код промо-акции"
"Click here to cancel Promo Code,Нажмите","чтобы отменить Код промо-акции"
"Close","Близко"
"Company","Компания"
"Company (Description)","Компания (описание)"
"Company (Error)","Компания (ошибка)"
"Complete Your Order","Завершить ваш заказ"
"Country","Страна"
"Coupon code ""%s"" is not valid.","Купон ""%s"" является недопустимым."
"Credit Card Information","Данные кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Credit Card Security Code","Кредитные карты, код безопасности"
"Credit Card Security Code Visual Reference","Кредитные карты, код безопасности визуальный Ссылка"
"Discover","Открыть"
"Do you have any gift items in your order?","Есть ли у вас дар детали в вашем заказе?"
"Double-Check your ordered items & click on ""Place Order"" to complete your purchase.","Дважды проверьте заказанные товары и нажмите ""Сделать заказ"", чтобы завершить покупку."
"Edit","Редактировать"
"Email","E-mail"
"Email (Description)","E-mail (описание)"
"Email (Error)","E-mail (ошибка)"
"Email Address","E-mail адрес"
"Email me my new password now","Напишите мне мой новый пароль сейчас"
"Enter your password and click ""Login"" to speed up your checkout process.","Введите пароль и нажмите кнопку ""Войти"", чтобы ускорить процесс проверки."
"Enter your password below and click ""Login"" to speed up your checkout.","Введите ваш пароль и нажмите кнопку ""Логин"", чтобы ускорить ваш заказ."
"Error Occurred","Произошла ошибка"
"Error message when shipping rates are not available","Сообщение об ошибке при цене доставки не доступны"
"Expiration Date","Дата истечения срока"
"Fill Out Your %s Information","Заполнить информацию Вашему %s"
"Fill in your shipping address and click on ""Proceed to Shipping Method""","Заполните ваш почтовый адрес и нажмите ""Переход к Способ доставки"""
"From","от"
"Full Name","Полное имя"
"Full Name (Description)","Полное имя (описание)"
"Full Name (Error)","Полное имя (ошибка)"
"Gateway Error Message","Сообщение об ошибке шлюз"
"General Options","Общие параметры"
"GeoIP Data File","Файл данных GeoIP"
"Gift Options for Individual Items","Подарочная упаковка для отдельных элементов"
"Gift Options for the Entire Order.","Подарочная за весь заказ."
"Gift Options for this address.","Подарочная упаковка для этого адреса."
"Global Sign Secured","Глобальная Вход Обеспеченные"
"Grand Total","Общий итог"
"Grand total","Общий итог"
"Incl. Tax","Включительно Налог"
"Inline Validation Messages","Встроенные сообщения о выявленных проверкой"
"Invalid email address.","Неверный адрес электронной почты."
"Invalid email.","Неверный e-mail."
"Invalid password.","Неверный пароль."
"Issue Number","Редакция"
"Item %d of %d","Пункт %D из %D"
"Items After","детали после"
"Items Before","пунктов, прежде чем"
"Loading address...","Адрес загрузки ..."
"Loading city, state and country...","Загрузка города, штата и страны ..."
"Loading next step...","Загрузка следующий шаг ..."
"Login","Войти"
"Login and password are required","Логин и пароль"
"Login/Registration Before","Вход / Регистрация до"
"Logo","Логотип"
"Looks good!","Хорошо выглядит!"
"Message","сообщение"
"My Cart","Моя корзина"
"One Page Checkout Overview","Одной странице Checkout Обзор"
"Order Summary","Сводка заказов"
"Password","Пароль"
"Payment","Оплата"
"Phone Number","Номер телефона"
"Phone Number (Description)","Номер телефона (Описание)"
"Phone Number (Error)","Номер телефона (ошибка)"
"Pincode Maxlength","PINCODE MAXLENGTH"
"Please agree to all the terms and conditions before placing the order.","Пожалуйста, согласны со всеми условиями, прежде чем делать заказ заказ."
"Please agree to all the terms and conditions before placing the order.,Пожалуйста"," согласны со всеми условиями, прежде чем делать заказ заказ."
"Please enter your email.","Пожалуйста введите ваш e-mail."
"Please fill out your shipping address &amp; then click ""Proceed to Shipping Type""","Пожалуйста, заполните ваш адрес доставки и нажмите кнопку ""Перейти в Доставка типа"""
"Please fill out your shipping address &amp;,Пожалуйста",", заполните ваш адрес доставки и"
"Please select region, state or province","Пожалуйста выберите регион, штат или провинцию"
"Price","Цена"
"Proceed to Billing Information","Перейдите к биллинговой информации"
"Proceed to Payment &rarr;","Порядок оплаты &rarr;"
"Proceed to Shipping Method","Перейдите к Способ доставки"
"Proceed to Shipping Method &rarr;","Перейдите к перевозке груза Метод &rarr;"
"Proceed to Shipping Type","Продолжайте к перевозке груза типа"
"Proceed to Shipping Type &rarr;","Продолжайте к перевозке груза типа &rarr;"
"Product Name","Название продукта"
"Promo Code","Код промо-акции"
"Qty","Кол-во"
"Review Purchase","Обзор Покупка"
"Review Purchase &rarr;","Обзор Покупка &rarr;"
"Save for Future Purchases","Сохранить для будущих покупок"
"Save for future purchases","Сохранить для будущих покупок"
"Security Badges","По пропускам"
"Select a billing address from your address book or enter a new address.","Выберите платежный адрес из адресной книги или ввести новый адрес."
"Select a shipping address from your address book or enter a new address.","Выберите почтовый адрес из адресной книги или ввести новый адрес."
"Selected payment type is not allowed for billing country.","Выбранный тип оплаты не допускается для выставления счетов страны."
"Shipping","Судоходство"
"Shipping Information","Информация о доставке"
"Shipping Method","Способ доставки"
"Shipping Method Message","Сообщение Способ доставки"
"Shipping Method:","Способ доставки:"
"Shipping and Billing Address","Доставка и адрес"
"Special Announcement","Специальное объявление"
"Start Date","Дата начала"
"State","Государство"
"State/Province","Штат / провинция"
"Street Address","Улица"
"Street Address %s","Улица %s"
"Submitting order information...","Отправка информации о заказе ..."
